"","GSM362958","GSM362959","GSM362960","GSM362964"
"DDR1",6.876,7.648,7.915,6.981
"RFC2",4.651,4.283,4.25,4.136
"HSPA6",6.775,3.796,3.38,3.756
"PAX8",5.578,6.213,5.579,5.818
"GUCA1A",3.195,3.269,3.467,3.377
"UBE1L",6.417,6.428,5.897,6.582
"THRA",3.432,3.812,3.528,3.676
"PTPN21",3.373,3.621,3.717,3.595
"CCL5",3.861,5.331,4.702,5.316
"CYP2E1",3.83,8.685,12.705,11.787
"EPHB3",3.444,3.738,3.515,3.487
"ESRRA",6.826,5.383,6.23,6.373
"CYP2A6",5.276,6.147,6.069,7.628
"GAS6",5.634,6.168,6.561,6.133
"MMP14",4.672,4.346,4.234,4.549
"TRADD",6.549,5.168,5.817,5.746
"FNTB",3.344,3.707,3.484,3.41
"PLD1",4.545,4.51,4.73,4.928
"PMS2L11",5.623,6.255,6.129,6.292
"BAD",4.476,3.751,3.676,3.951
"PRPF8",7.711,6.9,7.372,8.065
"CAPNS1",8.77,8.545,8.353,9.763
"RPL35",8.778,10.488,10.243,9.833
"RPL28",11.652,12.552,11.906,12.205
"EIF4G2",10.831,10.428,10.251,10.34
"EIF3S7",8.876,10.482,9.819,8.967
"PARK7",10.777,10.359,9.722,10.56
"SRP14",10.528,10.798,10.366,10.432
"GDI2",6.469,6.353,6.43,7.974
"RPL11",10.513,11.374,10.602,11.03
"ARF3",7.833,6.926,7.07,6.716
"RPL21 ",11.855,12.439,12.453,12.01
"RPL24",10.722,11.62,11.45,11.345
"HNRPC",8.675,8.261,8.245,7.976
"SEPT2",9.477,9.42,10.183,9.405
"HNRPA1",10.68,10.888,11.673,10.518
"RPS27A",11.694,12.25,12.145,12.053
"RPS13",11.072,12.235,12.331,11.952
"FAU",11.564,11.094,11.507,11.38
"TARDBP",8.038,7.706,7.414,7.414
"CFL1",12.309,12.237,11.945,11.624
"RPL18",10.487,11.533,11.322,11.525
"EIF3S5",9.638,10.392,9.894,9.912
"RPS5 ",10.719,11.695,11.575,12.172
"RPL27",11.557,12.066,12.398,11.724
"RPL34 ",11.897,12.446,12.597,12.122
"NARS",10.366,10.404,10.003,9.839
"STARD7",9.527,9.617,9.327,9.083
"RPL19",11.776,12.265,12.142,12.317
"SLC25A3",11.445,10.754,10.969,10.955
"RPS11",11.971,12.66,12.69,12.793
"RPL9",11.698,12.299,12.527,11.644
"DDX5",10.274,9.955,9.927,10.269
"RPL6",11.509,12.278,11.903,11.697
"DULLARD",6.87,7.181,7.439,7.267
"RPL10A",9.649,11.249,11.285,11.047
"CBX3 ",9.022,9.353,8.374,8.41
"RPL17",10.882,12.118,12.275,11.676
"PSMB2",10.114,9.136,8.507,9.781
"KHDRBS1",9.103,8.763,8.932,8.707
"BAT1",9.3,9.978,9.153,10.422
"C22orf28",8.521,9.149,9.106,8.088
"ERH",9.433,9.465,9.282,9.381
"SFRS9",8.272,7.628,7.407,6.743
"ABCF1",7.921,7.334,7.82,8.628
"DAD1",9.612,8.758,8.511,9.021
"YY1",8.903,8.761,8.622,8.717
"JTB",10.283,9.742,9.578,10.18
"MYST2",5.542,5.943,5.933,6.255
"ZNF146",6.835,7.055,6.709,7.217
"SART1",6.601,6.733,6.212,6.526
"ILF2",7.787,7.106,7.411,7.785
"SPAG7",6.743,6.415,6.978,7.237
"ZNF259 ",6.595,6.741,6.856,6.691
"TAF10",10.281,10.181,9.33,10.032
"C1D",7.122,6.549,6.662,6.721
"NONO",10.401,10.948,11.207,11.081
"ASCC3L1",8.936,8.823,8.03,8.664
"RHOA",10.131,9.822,9.701,10.372
"RNPS1",7.916,7.599,7.683,7.064
"RPS24",12.458,13.246,13.179,13
"RPL30",12.176,13.256,12.474,12.51
"NPM1",11.534,12.005,12.053,11.447
"HSP90AB1",10.237,10.836,11.216,11.268
"ARF1",10.582,9.955,10.567,10.085
"IK",7.875,7.99,7.978,8.257
"SNX3",10.829,11.653,9.738,10.29
"CANX",11.778,11.196,11.398,11.358
"SART3",5.867,5.394,6.376,4.873
"C2orf24",6.394,6.564,6.87,6.318
"SMNDC1",7.303,6.647,6.997,6.38
"HNRPM",8.343,8.424,8.759,7.533
"HNRPD",8.406,8.438,8.748,8.043
"RPL14 ",10.074,11.32,10.786,11.184
"GUK1",8.682,7.303,7.582,8.69
"C19orf50",5.562,5.96,5.815,5.088
"OAZ1",11.909,11.382,11.21,11.412
"ATP6V0B",8.772,7.917,7.51,8.346
"KARS",8.771,8.078,7.84,8.26
"H3F3A ",11.604,11.434,11.338,11.071
"RPS6",9.212,10.98,11.307,10.827
"RPS7 ",11.512,12.287,12.087,11.877
"USP22",7.272,6.748,7.566,6.337
"C11orf58",9.094,8.769,9.261,9.404
"TCEB2",9.541,9.371,9.151,9.163
"COX4I1",10.771,9.7,9.681,9.792
"TMED2",9.771,9.957,9.59,9.53
"RPL12",10.518,12.344,11.796,11.598
"RPL4",10.062,11.729,11.249,10.633
"FNTA",8.669,9.107,8.544,9.246
"RPS25",9.879,11.662,11.483,11.271
"RPL37",12.01,12.874,12.671,12.638
"HINT1",10.432,10.912,10.123,10.718
"EEF2",10.049,10.154,10.631,10.57
"RPS10",11.814,12.865,12.845,12.761
"ATP6V0E1",10.235,9.529,9.528,10.085
"HNRPK",8.708,9.017,8.87,8.276
"ANAPC5",7.735,8.756,8.574,7.628
"RPS3A ",10.799,11.972,12.296,11.819
"HNRPU",8.246,7.996,7.349,8.167
"EIF3S10",8.635,8.269,8.599,8.776
"HSP90B1",8.84,6.875,6.027,8.466
"MSN",8.322,7.672,6.34,8.458
"ACTN4",7.545,7.702,7.343,7.93
"APP",9.011,8.624,8.813,8.258
"PRKAR1A",9.036,8.775,8.791,9.386
"DSP",9.68,9.133,9.708,9.309
"RAD21",6.055,6.073,4.575,5.971
"WDR1",9.239,9.092,9.402,8.017
"NCL",9.552,9.956,9.901,8.731
"AP2B1",4.166,4.781,4.944,4.739
"AP2M1",8.514,7.762,7.027,7.96
"CLTC",10.865,10.353,10.415,11.262
"KIAA0152",6.884,7.472,5.751,6.218
"LASP1",9.331,9.481,9.27,10.012
"SF3B2",8.88,8.524,8.285,7.52
"TMEM59",10.594,9.569,10.522,10.018
"CSRP1",8.514,6.822,7.193,8.288
"CALM3",6.046,5.575,4.809,6.868
"MATR3",7.804,7.943,8.088,8.416
"CAP1",9.524,9.332,9.355,9.119
"PTGES3",10.554,10.409,10.458,10.126
"WARS",4.599,5.949,3.855,4.87
"SET",9.061,9.474,8.907,8.923
"NDRG1",11.428,8.719,9.233,8.15
"UBB",12.925,11.705,11.841,12.291
"PFN1",9.944,10.345,9.913,10.016
"PTPRF",6.877,6.685,6.681,6.188
"YWHAZ",8.467,8.709,6.72,8.128
"SOD1",11.822,10.664,10.822,11.351
"HDLBP",8.617,8.764,8.304,8.922
"MARCKSL1",8.226,9.516,8.899,8.401
"GABARAP",9.383,9.557,8.99,9.429
"NUCB1",6.675,4.822,4.933,7.642
"EIF3S8 ",10.285,9.526,9.092,9.508
"GLUL",7.907,8.051,7.978,8.868
"LDHA",12.629,11.482,10.929,11.641
"GNB2L1",10.441,11.899,11.257,10.94
"SSR2",9.231,9.154,9.07,9.422
"CALM1",8.717,8.74,7.603,8.72
"P4HB ",11.123,10.475,10.544,11.321
"P4HB",9.662,7.845,7.381,10.412
"SLC25A5",11.04,10.121,10.349,10.238
"PHB",7.204,6.28,6.126,6.953
"S100A11",8.513,8.569,6.327,7.567
"CTSA",10.985,9.697,9.244,10.035
"TOMM20",9.874,10.247,11.456,10.645
"CD63",11.872,11.565,11.062,11.358
"DNAJB1",7.526,6.763,6.043,6.436
"SPARC",8.167,9.76,9.464,8.943
"UBE2D3",8.535,8.314,9.164,8.467
"XBP1",8.766,9.587,8.781,9.396
"SPTBN1",4.075,3.893,3.95,4.153
"LAPTM4A",10.495,10.165,10.203,9.994
"RPL32",11.342,13.202,12.958,12.67
"CD81",9.044,7.858,7.861,8.854
"UBE2L3",5.273,5.384,5.998,4.682
"PTTG1IP",10.303,9.502,9.547,8.893
"GRN",8.759,7.869,7.153,8.55
"HMGB1",8.921,8.961,8.251,8.38
"GLO1",10.473,10.067,9.942,10.322
"SFRS11",5.773,5.688,6.47,5.727
"SF3B3",6.925,6.019,6.273,6.399
"EEF1G ",10.865,11.217,11.757,11.469
"HSPA9",7.243,6.411,7.035,6.822
"YWHAQ",9.382,8.968,8.626,7.684
"DDX24",7.899,7.607,7.058,7.638
"PPP2R1A",7.039,6.878,6.224,7.705
"GSN",6.397,8.282,7.952,7.472
"HK1",5.225,6.767,5.774,5.761
"KDELR2",9.096,8.801,7.568,9.746
"",9.693,9.727,9.075,9.611
"NPC2",10.682,10.194,9.118,9.552
"DYNLL1",10.243,9.558,9.695,9.699
"LITAF",8.759,8.643,7.829,7.766
"EEF1B2",9.8,11.285,12.01,10.637
"PRKCSH",7.822,7.401,7,8.016
"GOT2",9.259,7.445,9.008,8.737
"FKBP1A",8.923,8.975,8.946,9.058
"ACADVL",9.049,8.884,8.586,9.782
"SKP1A",8.688,8.45,9.142,8.411
"MAPRE1",4.8,4.876,4.474,5.893
"OS9",10.422,9.492,10.012,9.651
"RPL13A",9.352,11.519,11.918,11.191
"RPL7",11.851,12.908,12.211,12.119
"ACTR1A",6.642,7.052,6.648,6.501
"GPIAP1",4.777,4.864,5.035,6.021
"RPL10",4.168,4.301,4.858,4.066
"PPP1CC",10.074,9.54,9.605,9.256
"ACTR2",4.298,4.018,3.651,4.108
"PTP4A1",7.949,6.353,6.329,9.375
"NACA",11.917,12.062,12.261,12.072
"GPX1",9.342,9.319,9.005,10.153
"PGK1",8.149,6.83,5.76,6.969
"SUMO3",6.726,5.381,4.979,6.013
"RPS27",12.03,12.791,12.703,12.677
"TPP1",9.779,8.792,7.89,9.319
"GNB1",7.762,6.709,5.72,7.848
"NUMA1",5.605,6.466,5.908,6.456
"FTH1",12.578,11.955,12.193,12.424
"RAN",5.95,6.152,7.32,4.755
"CAPN1",6.01,4.159,5.186,5.418
"SFRS2",6.343,6.057,5.522,6.522
"CALU",6.972,6.262,6.364,7.198
"NFE2L1",7.578,7.517,7.101,8.864
"ARL6IP5",6.6,5.439,4.734,6.348
"DPYSL2",9.595,6.949,7.48,7.33
"RPLP1",12.713,12.973,12.664,12.68
"CTNNA1",7.633,7.041,6.533,7.502
"CTSD",9.848,8.72,8.139,9.066
"FAM120A",4.56,4.51,4.426,5.056
"MAT2A",8.269,9.071,8.556,7.216
"LAMC1",8.248,6.57,7.572,8.676
"PTMA",10.573,10.585,10.316,10.123
"PTMA ",11.021,10.773,10.578,10.75
"BZW1 ",6.659,7.284,7.038,7.591
"ATF4",10.788,11.209,10.94,10.001
"FGB ",10.295,10.906,12.084,11.07
"RPS15A",11,12.219,12.536,12.183
"ANXA5",8.563,8.789,8.267,8.594
"STMN1",6.426,5.447,6.118,5.07
"LRP1",6.528,6.147,4.876,7.038
"PSMB7",8.563,8.485,9.02,8.489
"PEA15",6.164,5.822,6.102,7.186
"ECH1",9.234,8.924,9.481,9.799
"ODC1",8.875,9.188,8.889,9.192
"IQGAP1",7.666,8.424,8.056,8.618
"XRCC6",9.856,10.519,9.881,9.225
"ACO2",8.371,7.535,7.718,7.995
"DAZAP2",10.332,9.311,8.884,9.723
"SPARCL1",5.954,6.744,7.829,6.908
"MCL1",4.193,3.639,4.33,4.182
"HSPA1A",10.544,10.525,11.058,10.663
"HSPA1A ",9.928,9.706,10.455,10.61
"ACTB",13.022,13.046,12.456,12.38
"SARS",9.823,8.865,8.668,9.361
"TEGT",9.677,9.283,7.974,9.45
"LMAN2",8.931,7.727,7.632,7.809
"HSPD1",9.301,9.546,9.76,10
"ZYX",7.227,7.582,5.862,7.528
"CIRBP",9.369,8.54,9.575,8.369
"CCT7",8.42,8.236,7.818,7.965
"PAFAH1B1",4.304,4.985,4.53,5.649
"PSME1",9.849,9.38,8.793,9.634
"ATP5O",11.222,10.147,10.755,11.046
"RPS15",11.995,11.945,12.467,11.838
"PSMD8",8.532,7.673,7.418,8.992
"LAMP2",8.2,7.222,7.795,7.9
"TPI1",10.486,10.215,9.816,9.687
"RPL29",10.052,11.558,11.049,11.472
"GSTP1",4.687,5.531,4.416,5.064
"HYOU1",9.731,9.005,9.025,9.123
"SNRPD2",10.25,10.714,10.721,11.295
"PLOD1",8.606,7.011,6.403,8.086
"ZNF207",7.464,7.267,6.79,7.662
"PSMD2",8.732,8.119,8.136,7.764
"SCD",9.59,9.237,8.301,7.986
"RAP1B",9.232,9.13,8.95,9.248
"RPS21",11.127,12.068,12.546,11.815
"MAP4",3.058,3.936,4.073,3.773
"BCAP31",8.792,8.544,8.826,8.274
"CTSB",11.356,9.641,8.053,10.731
